game,difficulty,model,model_short,timestamp,dimension,indicator,score,max_score,normalized
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,python_syntax_correct,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,short_runtime_stable,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,dependency_initialization_complete,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,window_creation,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,event_handling_mechanism,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,process_controllability,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,modularity,3.0,20.0,0.15
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,reuse,17.0,20.0,0.85
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,naming,15.0,15.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,comments,0.0,15.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,constants,0.0,15.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,complexity,5.0,15.0,0.3333333333333333
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,UX,visual,25.0,25.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,UX,smoothness,35.0,35.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,UX,balance,6.0,20.0,0.3
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,UX,audio_animation,14.0,20.0,0.7
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Executability,python_syntax_correct,0.0,1.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Executability,short_runtime_stable,0.0,1.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Executability,dependency_initialization_complete,0.0,1.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Executability,window_creation,0.0,1.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Executability,event_handling_mechanism,0.0,1.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Executability,process_controllability,0.0,1.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Code Quality,modularity,0.0,20.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Code Quality,reuse,0.0,20.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Code Quality,naming,0.0,15.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Code Quality,comments,0.0,15.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Code Quality,constants,0.0,15.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,Code Quality,complexity,0.0,15.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,UX,visual,0.0,25.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,UX,smoothness,0.0,35.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,UX,balance,0.0,20.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260408_203425,UX,audio_animation,0.0,20.0,0.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Executability,python_syntax_correct,1.0,1.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Executability,short_runtime_stable,1.0,1.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Executability,dependency_initialization_complete,1.0,1.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Executability,window_creation,1.0,1.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Executability,event_handling_mechanism,1.0,1.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Executability,process_controllability,1.0,1.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Code Quality,modularity,7.0,20.0,0.35
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Code Quality,reuse,17.0,20.0,0.85
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Code Quality,naming,15.0,15.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Code Quality,comments,15.0,15.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Code Quality,constants,5.0,15.0,0.3333333333333333
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,Code Quality,complexity,5.0,15.0,0.3333333333333333
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,UX,visual,25.0,25.0,1.0
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,UX,smoothness,25.0,35.0,0.7142857142857143
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,UX,balance,6.0,20.0,0.3
snake,easy,qwen.qwen3-coder-next,Qwen Coder,20260408_203425,UX,audio_animation,8.0,20.0,0.4
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,python_syntax_correct,1.0,1.0,1.0
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,short_runtime_stable,1.0,1.0,1.0
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,dependency_initialization_complete,1.0,1.0,1.0
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,window_creation,1.0,1.0,1.0
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,event_handling_mechanism,1.0,1.0,1.0
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Executability,process_controllability,1.0,1.0,1.0
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,20260408_203425,Code Quality,modularity,7.0,20.0,0.35
