game,DeepSeek V3.2,Nova Pro,Qwen Coder
breakout,0.8029999999999999,0.7589999999999999,
dodge_blocks,0.8039999999999999,0.7549999999999999,0.7919999999999999
flappy_bird,0.46299999999999997,0.7514999999999998,0.7979999999999999
maze_runner,0.475,0.7529999999999999,0.48400000000000004
platformer,0.7865,0.24499999999999997,0.46399999999999997
pong,0.454,0.7965,0.819
roguelike_dungeon,0.45499999999999996,0.446,0.44899999999999995
snake,0.24499999999999997,0.745,0.7689999999999999
space_invaders,0.7889999999999999,0.7439999999999999,0.8119999999999999
tetris,0.24499999999999997,0.408,0.7839999999999999
